"child_id" "gold1_CH_cum_dur" "gold1_CH_count" "gold1_CV_cum_dur" "gold1_CV_count" "gold1_short_CV_count" "gold1_CNV_cum_dur" "gold1_CNV_count" "gold1_short_CNV_count" "gold1_CTC_count" "gold2_CH_cum_dur" "gold2_CH_count" "gold2_CV_cum_dur" "gold2_CV_count" "gold2_short_CV_count" "gold2_CNV_cum_dur" "gold2_CNV_count" "gold2_short_CNV_count" "gold2_CTC_count" "gold1_CH_mean" "gold1_CV_mean" "gold1_CNV_mean" "gold2_CH_mean" "gold2_CV_mean" "gold2_CNV_mean"
"ROS_0790" 2.06 7 1.48 4 3 0.58 3 3 0 3.51 4 3.51 4 2 0 0 0 0 0.294285714285714 0.37 0.193333333333333 0.8775 0.8775 0
"ROS_1299" 0.52 1 0.52 1 1 0 0 0 3 0.88 2 0.88 2 2 0 0 0 5 0.52 0.52 0 0.44 0.44 0
"ROS_2534" 16 6 4.1 5 3 11.9 1 0 3 13.24 12 13.24 12 5 0 0 0 10 2.66666666666667 0.82 11.9 1.10333333333333 1.10333333333333 0
"ROS_3510" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ROS_6026" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ROS_7903" 1.55 3 1.55 3 2 0 0 0 1 1.88 2 1.88 2 0 0 0 0 0 0.516666666666667 0.516666666666667 0 0.94 0.94 0
"ROS_9051" 0.92 1 0.92 1 0 0 0 0 0 0.97 1 0.97 1 0 0 0 0 1 0.92 0.92 0 0.97 0.97 0
"ROS_9426" 9.21 18 9.21 18 12 0 0 0 14 11.5 18 11.5 18 12 0 0 0 12 0.511666666666667 0.511666666666667 0 0.638888888888889 0.638888888888889 0
"ROS_9909" 7.39 9 7.39 9 3 0 0 0 12 10.11 10 10.11 10 4 0 0 0 10 0.821111111111111 0.821111111111111 0 1.011 1.011 0
"ROW_1156" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ROW_2745" 0.31 2 0.31 2 2 0 0 0 0 1.54 3 1.54 3 2 0 0 0 2 0.155 0.155 0 0.513333333333333 0.513333333333333 0
"ROW_3486" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ROW_7798" 8.39 19 4.07 8 6 4.32 11 8 14 12.09 14 6.09 9 4 6 5 0 14 0.441578947368421 0.50875 0.392727272727273 0.863571428571429 0.676666666666667 1.2
"ROW_8357" 0.87 1 0.87 1 0 0 0 0 0 1.47 2 1.47 2 1 0 0 0 1 0.87 0.87 0 0.735 0.735 0
"ROW_9492" 5.21 13 4.48 12 10 0.73 1 0 0 9.51 12 8.39 11 4 1.12 1 0 1 0.400769230769231 0.373333333333333 0.73 0.7925 0.762727272727273 1.12
"ROW_9801" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SOD_1499" 2.13 1 2.13 1 0 0 0 0 1 3.21 2 0 0 0 0 0 0 0 2.13 2.13 0 1.605 0 0
"SOD_3542" 2.5 5 1.77 4 4 0.73 1 0 7 3.1 5 3.1 5 1 0 0 0 7 0.5 0.4425 0.73 0.62 0.62 0
"SOD_3634" 2.16 3 2.16 3 1 0 0 0 0 2.27 2 2.27 2 0 0 0 0 0 0.72 0.72 0 1.135 1.135 0
"SOD_4483" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SOD_4736" 21.59 13 6.23 6 0 15.36 7 0 1 20.86 15 9.95 10 4 10.91 5 0 4 1.66076923076923 1.03833333333333 2.19428571428571 1.39066666666667 0.995 2.182
"SOD_8445" 8.41 8 7.81 6 1 0.6 2 2 10 10.42 7 10.42 7 0 0 0 0 10 1.05125 1.30166666666667 0.3 1.48857142857143 1.48857142857143 0
"SOD_8924" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SOD_9527" 6.92 13 6.92 13 8 0 0 0 11 9.3 12 9.3 12 4 0 0 0 12 0.532307692307692 0.532307692307692 0 0.775 0.775 0
"SOD_9854" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SOD_9858" 0 0 0 0 0 0 0 0 0 0.64 2 0.64 2 2 0 0 0 1 0 0 0 0.32 0.32 0
"TSE_0643" 0 0 0 0 0 0 0 0 0 0.56 3 0.56 3 3 0 0 0 2 0 0 0 0.186666666666667 0.186666666666667 0
"TSE_2109" 2.17 5 2.17 5 4 0 0 0 1 3.03 6 3.03 6 4 0 0 0 4 0.434 0.434 0 0.505 0.505 0
"TSE_2625" 0 0 0 0 0 0 0 0 0 1.55 3 0 0 0 0 0 0 0 0 0 0 0.516666666666667 0 0
"TSE_6216" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"TSE_7176" 21.44 26 21.44 26 13 0 0 0 0 10.32 17 10.32 17 12 0 0 0 3 0.824615384615385 0.824615384615385 0 0.607058823529412 0.607058823529412 0
"TSE_7326" 1.94 5 1.94 5 5 0 0 0 3 1.94 5 1.94 5 4 0 0 0 3 0.388 0.388 0 0.388 0.388 0
"TSE_8179" 0.28 1 0.28 1 1 0 0 0 2 0.31 1 0 0 0 0.31 1 1 0 0.28 0.28 0 0.31 0 0.31
"TSE_8787" 10.75 17 10.75 17 11 0 0 0 21 10.41 18 10.41 18 13 0 0 0 22 0.632352941176471 0.632352941176471 0 0.578333333333333 0.578333333333333 0
"WAR_1130" 0.43 1 0.43 1 1 0 0 0 0 0.34 1 0.34 1 1 0 0 0 1 0.43 0.43 0 0.34 0.34 0
"WAR_2535" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"WAR_3090" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"WAR_3528" 40.26 32 18.04 14 1 22.22 18 1 0 36.79 34 29.81 28 6 6.98 6 1 0 1.258125 1.28857142857143 1.23444444444444 1.08205882352941 1.06464285714286 1.16333333333333
"WAR_4995" 48.74 17 0 0 0 48.74 17 1 0 45.3 21 0 0 0 45.3 21 3 0 2.86705882352941 0 2.86705882352941 2.15714285714286 0 2.15714285714286
"WAR_5613" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"WAR_5959" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"WAR_9398" 15.01 17 15.01 17 8 0 0 0 0 15.22 16 15.22 16 7 0 0 0 0 0.882941176470588 0.882941176470588 0 0.95125 0.95125 0
"WAR_9427" 11.8 12 11.8 12 4 0 0 0 8 7.05 14 7.05 14 11 0 0 0 7 0.983333333333333 0.983333333333333 0 0.503571428571429 0.503571428571429 0
"WAR_9755" 1.31 3 1.31 3 3 0 0 0 2 0 0 0 0 0 0 0 0 0 0.436666666666667 0.436666666666667 0 0 0 0
